item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
22692983,12 STOREEZ,,,merino-silk cardigan,1099.0,1099.0,M,3,12 Storeez Women Clothing Standard,123896,249,,83844203,SS24,2022692983209,123896,2112389600011.0
22692986,12 STOREEZ,,,wide-leg track pants,999.0,999.0,XS,3,12 Storeez Women Clothing Standard,123924,249,,83844203,SS24,2022692986187,123924,2112392400042.0
22692987,12 STOREEZ,,,long-sleeve cotton T-shirt ,329.0,329.0,XS,3,12 Storeez Women Clothing Standard,123847,249,,83844203,SS24,2022692987184,123847,2112384700044.0
22692987,12 STOREEZ,,,long-sleeve cotton T-shirt ,329.0,329.0,S,3,12 Storeez Women Clothing Standard,123847,249,,83844203,SS24,2022692987191,123847,2112384700020.0
22692987,12 STOREEZ,,,long-sleeve cotton T-shirt ,329.0,329.0,M,3,12 Storeez Women Clothing Standard,123847,249,,83844203,SS24,2022692987207,123847,2112384700013.0
22692961,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,S,3,12 Storeez Women Clothing Standard,123916,249,,83844203,SS24,2022692961191,123916,2112391600023.0
22692963,12 STOREEZ,,,belted merino-wool coat,2089.0,2089.0,M,3,12 Storeez Women Clothing Standard,123905,249,,83844203,SS24,2022692963201,123905,2112390500010.0
22692960,12 STOREEZ,,,high-waist tailored trousers,725.0,725.0,S,3,12 Storeez Women Clothing Standard,123860,249,,83844203,SS24,2022692960194,123860,2112386000029.0
22692960,12 STOREEZ,,,high-waist tailored trousers,725.0,725.0,M,3,12 Storeez Women Clothing Standard,123860,249,,83844203,SS24,2022692960200,123860,2112386000012.0
22693555,12 STOREEZ,,,straight-leg trousers,725.0,725.0,XS,3,12 Storeez Women Clothing Standard,123861,249,,83844203,SS24,2022693555184,123861,2112386100040.0
22692973,12 STOREEZ,,,Merino-silk cardigan,945.0,945.0,S,3,12 Storeez Women Clothing Standard,121558,249,,83844203,SS24,2022692973194,121558,2112155871003.0
